Unix time,Flow rate,Temperature,Wind direction,Wind speed,Wind speed squared
1546300800,-0.973906579,-0.965058592,-0.900208094,-0.113446866,-0.261249117
1546304400,-0.944205756,-1.091669145,-0.887888825,-0.113446866,-0.261249117
1546308000,-0.894979467,-1.091669145,-0.875569555,-0.113446866,-0.261249117
1546311600,-0.8854313,-1.091669145,-0.863250286,-0.113446866,-0.261249117
1546315200,-0.912986468,-1.091669145,-0.838611748,-0.113446866,-0.261249117
1546318800,-0.948422794,-1.091669145,-0.826292479,0.262136863,0.053097798
1546322400,-0.961024394,-1.091669145,-0.80165394,0.262136863,0.053097798
1546326000,-0.98490719,-0.965058592,-0.777015402,-0.113446866,-0.261249117
1546329600,-1.012297308,-0.838448038,-0.752376864,-0.113446866,-0.261249117
1546333200,-0.994917498,-0.711837485,-0.727738325,-0.113446866,-0.261249117
1546336800,-0.933411458,-0.585226931,-0.198009751,-0.489030596,-0.527234968
1546340400,-0.945625189,-0.332005825,0.331718823,-1.240198055,-0.914123479
1546344000,-0.98206007,-0.205395271,0.861447398,-1.615781785,-1.035026139
1546347600,-1.010481753,-0.332005825,0.52882713,-1.615781785,-1.035026139
1546351200,-1.036865063,-0.458616378,0.196206863,-1.991365515,-1.107567734
1546354800,-1.050985127,-0.585226931,-0.148732674,-1.991365515,-1.107567734
1546358400,-1.043169989,-0.711837485,-0.382798789,-1.615781785,-1.035026139
1546362000,-1.030485864,-0.838448038,-0.629184172,-1.240198055,-0.914123479
1546365600,-1.031401894,-0.965058592,-0.875569555,-0.864614326,-0.744859755
1546369200,-1.035462135,-1.091669145,-0.94948517,-0.864614326,-0.744859755
1546372800,-1.03950587,-1.091669145,-1.035720055,-0.864614326,-0.744859755
1546376400,-1.037170406,-1.091669145,-1.121954939,-0.864614326,-0.744859755
1546380000,-1.038829163,-1.091669145,-1.146593477,-0.864614326,-0.744859755
1546383600,-1.053097772,-1.218279699,-1.171232016,-0.864614326,-0.744859755
1546387200,-1.055416731,-1.218279699,-1.195870554,-0.864614326,-0.744859755
1546390800,-1.042707848,-1.218279699,-1.269786169,-0.864614326,-0.744859755
1546394400,-1.014938114,-1.218279699,-1.331382515,-0.864614326,-0.744859755
1546398000,-0.984692624,-1.218279699,-1.392978861,-0.864614326,-0.744859755
1546401600,-0.970877904,-1.218279699,-1.540810091,-0.864614326,-0.744859755
1546405200,-0.986433906,-1.218279699,-1.70096059,-0.864614326,-0.744859755
1546408800,-1.014748306,-1.218279699,-1.84879182,-0.864614326,-0.744859755
1546412400,-1.036939336,-1.218279699,-1.935026704,-0.489030596,-0.527234968
1546416000,-1.044407867,-1.091669145,-2.021261588,-0.113446866,-0.261249117
1546419600,-1.046891876,-1.091669145,-2.095177203,0.262136863,0.053097798
1546423200,-1.060516789,-1.091669145,-2.095177203,0.637720593,0.415805777
1546426800,-1.066062483,-1.091669145,-2.095177203,1.013304323,0.82687482
1546430400,-1.048063734,-0.965058592,-2.095177203,1.013304323,0.82687482
1546434000,-1.043739413,-1.091669145,-2.070538665,1.013304323,0.82687482
1546437600,-1.053997297,-1.218279699,-2.058219396,1.388888053,1.286304926
1546441200,-1.047048674,-1.344890252,-2.033580858,1.388888053,1.286304926
1546444800,-1.035899518,-1.344890252,-1.910388166,1.013304323,0.82687482
1546448400,-1.04438311,-1.471500806,-1.799514743,0.637720593,0.415805777
1546452000,-1.042229202,-1.598111359,-1.676322052,0.637720593,0.415805777
1546455600,-1.022670727,-1.598111359,-1.627044975,0.262136863,0.053097798
1546459200,-1.006875401,-1.598111359,-1.577767898,0.262136863,0.053097798
1546462800,-1.002121949,-1.598111359,-1.516171552,0.262136863,0.053097798
1546466400,-0.950370389,-1.724721913,-1.516171552,0.262136863,0.053097798
1546470000,-0.915998638,-1.724721913,-1.516171552,0.262136863,0.053097798
1546473600,-0.916039901,-1.851332466,-1.516171552,0.262136863,0.053097798
1546477200,-0.924828836,-1.851332466,-1.491533014,0.262136863,0.053097798
1546480800,-0.904610159,-1.851332466,-1.479213745,0.262136863,0.053097798
1546484400,-0.881428827,-1.851332466,-1.466894476,0.262136863,0.053097798
1546488000,-0.892586236,-1.851332466,-1.454575207,0.262136863,0.053097798
1546491600,-0.931340075,-1.851332466,-1.429936668,0.262136863,0.053097798
1546495200,-0.959085051,-1.851332466,-1.417617399,0.262136863,0.053097798
1546498800,-0.966801158,-1.851332466,-1.429936668,0.262136863,0.053097798
1546502400,-0.965835613,-1.724721913,-1.442255937,0.262136863,0.053097798
1546506000,-0.946409179,-1.598111359,-1.466894476,0.262136863,0.053097798
1546509600,-0.896448416,-1.471500806,-1.565448629,0.637720593,0.415805777
1546513200,-0.860607716,-1.344890252,-1.676322052,1.013304323,0.82687482
1546516800,-0.746227773,-1.218279699,-1.787195474,1.013304323,0.82687482
1546520400,-0.679745462,-1.218279699,-1.836472551,1.388888053,1.286304926
1546524000,-0.781350503,-1.344890252,-1.885749628,1.388888053,1.286304926
1546527600,-0.859873242,-1.344890252,-1.935026704,1.388888053,1.286304926
1546531200,-0.866433996,-1.471500806,-1.84879182,1.388888053,1.286304926
1546534800,-0.845513855,-1.598111359,-1.762556936,1.013304323,0.82687482
1546538400,-0.834868103,-1.724721913,-1.676322052,1.013304323,0.82687482
1546542000,-0.828365116,-1.851332466,-1.627044975,1.013304323,0.82687482
1546545600,-0.787960772,-1.851332466,-1.577767898,0.637720593,0.415805777
1546549200,-0.727667853,-1.851332466,-1.516171552,0.637720593,0.415805777
1546552800,-0.624833187,-1.851332466,-1.503852283,0.637720593,0.415805777
1546556400,-0.520876178,-1.851332466,-1.491533014,1.013304323,0.82687482
1546560000,-0.559712542,-1.851332466,-1.479213745,1.013304323,0.82687482
1546563600,-0.67492599,-1.851332466,-1.466894476,1.013304323,0.82687482
1546567200,-0.774294597,-1.851332466,-1.454575207,0.637720593,0.415805777
1546570800,-0.831022428,-1.851332466,-1.442255937,0.637720593,0.415805777
1546574400,-0.848823116,-1.851332466,-1.429936668,0.637720593,0.415805777
1546578000,-0.846339107,-1.851332466,-1.417617399,0.637720593,0.415805777
1546581600,-0.847783298,-1.851332466,-1.417617399,0.637720593,0.415805777
1546585200,-0.792590437,-1.724721913,-1.417617399,0.637720593,0.415805777
1546588800,-0.77050669,-1.724721913,-1.429936668,0.637720593,0.415805777
1546592400,-0.787564651,-1.598111359,-1.429936668,0.637720593,0.415805777
1546596000,-0.828381621,-1.471500806,-1.528490822,0.637720593,0.415805777
1546599600,-0.800182756,-1.344890252,-1.627044975,1.013304323,0.82687482
1546603200,-0.772685356,-1.091669145,-1.725599128,1.013304323,0.82687482
1546606800,-0.770770771,-1.218279699,-1.799514743,0.637720593,0.415805777
1546610400,-0.776646566,-1.218279699,-1.873430358,0.637720593,0.415805777
1546614000,-0.789338943,-1.344890252,-1.947345973,0.637720593,0.415805777
1546617600,-0.71892018,-1.471500806,-1.762556936,0.262136863,0.053097798
1546621200,-0.614591808,-1.471500806,-1.577767898,-0.113446866,-0.261249117
1546624800,-0.617810291,-1.598111359,-1.392978861,-0.489030596,-0.527234968
1546628400,-0.657868029,-1.598111359,-1.343701784,-0.489030596,-0.527234968
1546632000,-0.728740681,-1.598111359,-1.282105438,-0.489030596,-0.527234968
1546635600,-0.746681662,-1.598111359,-1.220509092,-0.489030596,-0.527234968
1546639200,-0.537018109,-1.598111359,-1.245147631,-0.489030596,-0.527234968
1546642800,-0.336143491,-1.598111359,-1.269786169,-0.489030596,-0.527234968
1546646400,-0.393803857,-1.598111359,-1.282105438,-0.489030596,-0.527234968
1546650000,-0.528897628,-1.598111359,-1.269786169,-0.489030596,-0.527234968
1546653600,-0.655763636,-1.598111359,-1.245147631,-0.489030596,-0.527234968
1546657200,-0.659039887,-1.598111359,-1.220509092,-0.489030596,-0.527234968
1546660800,-0.598433371,-1.598111359,-1.171232016,-0.489030596,-0.527234968
1546664400,-0.671542456,-1.598111359,-1.121954939,-0.489030596,-0.527234968
1546668000,-0.774476153,-1.598111359,-1.060358593,-0.489030596,-0.527234968
1546671600,-0.846091531,-1.471500806,-1.121954939,-0.489030596,-0.527234968
1546675200,-0.893989164,-1.344890252,-1.183551285,-0.489030596,-0.527234968
1546678800,-0.915272416,-1.344890252,-1.245147631,-0.489030596,-0.527234968
1546682400,-0.903941705,-1.218279699,-1.429936668,-0.489030596,-0.527234968
1546686000,-0.833762265,-1.091669145,-1.614725706,-0.489030596,-0.527234968
1546689600,-0.747820509,-0.965058592,-1.799514743,-0.489030596,-0.527234968
1546693200,-0.673465294,-1.091669145,-1.84879182,-0.489030596,-0.527234968
1546696800,-0.751798225,-1.091669145,-1.898068897,-0.489030596,-0.527234968
